,DATE,excess,term_spread,real_yield,inv_wealth,rolling_6m,momentum,index,intercept,term_spread_b1,real_yield_b2,inv_wealth_b3,momentum_b4,r_squared,expected_excess
136,2013-05-01,1.9077272727272727,0.8009090909090909,-0.5494909090909091,0.0882193231821848,-0.8956319283056126,-1,2013-05-01,0.2715342808648296,1.3441832049635845,-0.14178277950496937,2.1160675351312137,-0.03836836984998383,0.959729557208775,1.6510575935781575
137,2013-06-01,2.2655,1.1535,-0.5123,0.0906064310335824,-0.7987137464874308,-1,2013-06-01,0.28625987957323823,1.3438339806609871,-0.14294624988423565,1.9987542761213524,-0.04100207943458723,0.9593957521769104,2.1317058109884353
138,2013-07-01,2.5613636363636365,1.3631818181818185,-0.4823181818181816,0.0877024625196345,-0.706847079820764,-1,2013-07-01,0.2925983166246965,1.3441061410496358,-0.14357931133353585,1.944896431153745,-0.04236464702744122,0.9593026477641445,2.4070471355844574
139,2013-08-01,2.7004545454545457,1.4804545454545457,-0.0183454545454544,0.0914824557551195,-0.6407564593301436,-1,2013-08-01,0.30207039945096903,1.3448587851475287,-0.14427075364460742,1.8549870791131147,-0.04390824948250506,0.9592102592645093,2.5093264363441206
140,2013-09-01,2.792,1.5759999999999998,0.5012999999999999,0.0899555700875847,-0.4485166666666666,-1,2013-09-01,0.3108311230857932,1.3457942812459178,-0.14487207624122378,1.7716633018191834,-0.04563381220502667,0.9590771111678236,2.5641833330330583
141,2013-10-01,2.5054545454545454,1.316818181818182,0.4900181818181819,0.08750367820735,-0.24825,-1,2013-10-01,0.32355508732771476,1.3471037594240973,-0.14516418354724264,1.6445770456783375,-0.047445657667605244,0.9588848737276827,2.217664919505889
142,2013-11-01,2.672631578947368,1.3010526315789472,0.1381526315789472,0.0866045920746122,-0.0951893939393939,-1,2013-11-01,0.3420560064258511,1.348046872144086,-0.1454287432616458,1.4681361902857537,-0.04963512642437522,0.9584685414876355,2.2526270356259155
143,2013-12-01,2.8847619047619046,1.5061904761904763,0.0633904761904764,0.0861498302578205,0.0194178628389154,-1,2013-12-01,0.36918836016450535,1.3495105785848969,-0.1462757032813326,1.2097284624690858,-0.0530072146765942,0.9575883280402984,2.5497609710376357
144,2014-01-01,2.841428571428571,1.6066666666666665,0.0888666666666664,0.0903955546939796,0.1153662755373282,1,2014-01-01,0.3912210424432111,1.3514508767860405,-0.1470610861031894,0.9894993607067231,-0.055707873345650166,0.9571080099773598,2.583221759529185
145,2014-02-01,2.662631578947368,1.4657894736842103,0.3952894736842105,0.0879931655517946,0.2105637502848029,-1,2014-02-01,0.40446622193025694,1.3527044551358842,-0.14683075364911446,0.8575463476428449,-0.053794101734011154,0.9568525841047704,2.4584578414140417
146,2014-03-01,2.6719047619047616,1.5895238095238096,0.0268238095238095,0.0886486435893347,0.279502904989747,1,2014-03-01,0.41623283877320816,1.3536387052264394,-0.1470914679620065,0.7418254632751375,-0.055301850977641134,0.9566829188458974,2.5743882068261543
147,2014-04-01,2.681904761904762,1.670952380952381,-0.3141476190476189,0.0892921056020327,0.200423539910382,1,2014-04-01,0.4218069121439584,1.35411831605875,-0.1470124530113307,0.6860165670199345,-0.05459524811836031,0.9566844466880862,2.7373183641661427
