DATE,excess,term_spread,real_yield,inv_wealth,rolling_6m,momentum
2002-01-01,3.3895238095238094,2.69,3.1441,0.1081108465004089,1.9783678601875536,-1
2002-02-01,3.207894736842105,2.57842105263158,3.1620210526315797,0.109363158162341,2.1943011935208867,-1
2002-03-01,3.5340000000000007,2.9480000000000004,3.3751000000000007,0.1049388925444715,2.41256919504644,-1
2002-04-01,3.518636363636364,2.9368181818181824,3.0028181818181823,0.1106251618378418,2.721236842105263,-1
2002-05-01,3.456363636363637,2.764545454545454,3.253745454545454,0.1104751084780591,2.924656539074961,-1
2002-06-01,3.2435,2.486,3.1168,0.1171944062622417,3.1205974481658694,1
2002-07-01,2.965,2.127272727272728,2.341672727272728,0.1245227527012985,3.175764114832536,1
2002-08-01,2.601363636363636,1.6745454545454548,1.5470454545454548,0.1215260703567866,3.042026236044657,1
2002-09-01,2.2205,1.3079999999999998,1.4219999999999997,0.1328948897865841,2.7728636363636365,1
2002-10-01,2.343636363636364,1.3650000000000002,0.918,0.1200883914374867,2.44734696969697,1
2002-11-01,2.804736842105264,1.824736842105263,0.8012368421052631,0.1122444975967213,2.0998772727272725,1
2002-12-01,2.8552380952380947,1.8433333333333335,0.5530333333333335,0.1175061716672476,1.6911258373205742,1
2003-01-01,2.898095238095238,1.8823809523809525,0.2948809523809523,0.118736533139975,1.2638313928761298,1
2003-02-01,2.727368421052632,1.7278947368421056,-0.2482052631578946,0.1187113652945151,0.9226994303941672,1
2003-03-01,2.6504761904761907,1.653809523809524,-0.2413904761904759,0.1159547051453379,0.623490977443609,1
2003-04-01,2.82047619047619,1.7985714285714285,0.7534714285714283,0.106535593633669,0.3462592314118631,-1
2003-05-01,2.506666666666667,1.4457142857142855,0.6215142857142855,0.1012381311286684,0.3188378028404344,-1
2003-06-01,2.376190476190476,1.3457142857142856,0.3169142857142855,0.1000942515585059,0.2888840434419382,-1
2003-07-01,3.098636363636364,1.9722727272727272,0.816672727272727,0.0986466495802426,0.2495308688387635,-1
2003-08-01,3.5176190476190468,2.42,1.1538999999999997,0.097223029655151,0.3364961646540593,-1
2003-09-01,3.380476190476191,2.2447619047619045,0.8064619047619046,0.0985585017213435,0.570180375180375,-1
2003-10-01,3.4009090909090904,2.265909090909091,1.144009090909091,0.0940814121395871,0.7448224386724385,-1
2003-11-01,3.376111111111112,2.357222222222222,1.3588222222222224,0.0940739494347861,0.8099120490620488,-1
2003-12-01,3.395454545454545,2.368636363636364,1.2334363636363634,0.0905760668821966,0.9327967051467052,-1
2004-01-01,3.322,2.2415000000000003,1.0952000000000002,0.090134033621212,1.085550384800385,-1
2004-02-01,3.1847368421052624,2.137894736842105,1.3793947368421051,0.0901421765305543,1.1319715969215969,-1
2004-03-01,2.880869565217392,1.8469565217391304,1.04685652173913,0.0924771967087646,1.1695540530619477,1
2004-04-01,3.4552380952380948,2.44952380952381,1.0969238095238096,0.0946508280956807,1.209619822558152,1
2004-05-01,3.8295,2.8305,0.9527,0.0941686970357222,1.2017722756606053,1
2004-06-01,3.71,2.659047619047619,0.7613476190476192,0.0932541682026361,1.134085238623568,1
2004-07-01,3.333333333333334,2.358571428571428,0.7489714285714282,0.0969089028106657,1.0554037811921109,1
2004-08-01,2.9363636363636365,1.9945454545454544,0.9271454545454544,0.0970189696612053,0.9976990192873488,1
2004-09-01,2.6047619047619044,1.7052380952380952,0.816038095238095,0.0965070316188099,0.9223241389045737,1
2004-10-01,2.5009999999999994,1.5875,0.1566,0.0956559254441812,0.8838544011544012,1
2004-11-01,2.314,1.455,-0.0966,0.0928911540882284,0.7271337662337661,1
2004-12-01,2.3149999999999995,1.4081818181818182,0.2558818181818183,0.0909737746665606,0.5522504329004327,1
2005-01-01,2.2290000000000005,1.3769999999999998,0.8620999999999999,0.094000817130674,0.4680061327561327,-1
2005-02-01,1.847368421052632,1.2263157894736842,0.7133157894736843,0.0930311684997029,0.4868608946608946,-1
2005-03-01,1.9000000000000004,1.4254545454545449,0.9586545454545452,0.0953599334561974,0.4512226171489329,-1
2005-04-01,1.7495238095238088,1.2185714285714289,0.6367714285714285,0.0975851533561143,0.4749920255183413,-1
2005-05-01,1.5523809523809522,1.012857142857143,0.9835571428571428,0.0952725506083204,0.5550205969469127,-1
2005-06-01,1.2213636363636362,0.8022727272727268,1.231272727272727,0.0957575343636725,0.7350467874231033,-1
2005-07-01,1.1415000000000002,0.7589999999999999,0.9118,0.0931895937518435,0.8976119389382546,-1
2005-08-01,0.9817391304347832,0.6821739130434783,0.4752739130434782,0.0948225215862167,0.905895272271588,1
2005-09-01,1.0376190476190472,0.5861904761904757,-0.7356095238095239,0.0947513303719647,0.866221626199887,1
2005-10-01,1.0265,0.6185,-0.0216000000000002,0.0968163877646187,0.5838442813225421,1
2005-11-01,0.6925000000000003,0.5724999999999998,1.1138999999999997,0.0941730286768295,0.4741157098939706,-1
2005-12-01,0.8604761904761906,0.5023809523809528,1.053780952380953,0.0948365198108618,0.4958395194177801,-1
2006-01-01,0.3879999999999999,0.1054999999999992,0.3266999999999997,0.0932331872812913,0.4662575569358178,1
2006-02-01,0.2615789473684202,0.1421052631578954,0.933805263157895,0.0938718613709903,0.3687408902691511,-1
2006-03-01,0.2556521739130444,0.2060869565217391,1.298186956521739,0.0935575366490001,0.4451627819548872,-1
2006-04-01,0.4673684210526314,0.3021052631578955,1.2883052631578953,0.0931905475618923,0.7841288620100976,-1
2006-05-01,0.4972727272727271,0.2777272727272732,1.020427272727273,0.0965472674500663,1.0024464058697469,-1
2006-06-01,0.4845454545454553,0.2772727272727273,0.8855727272727272,0.096885016766306,0.9868676179909592,1
2006-07-01,0.2840000000000007,0.0899999999999998,0.9352999999999998,0.0967552882082894,0.9588329138062548,1
2006-08-01,-0.2008695652173919,-0.1378260869565215,0.8955739130434783,0.0952657983277294,1.0602662471395885,1
2006-09-01,0.0399999999999991,-0.1425,2.6553999999999998,0.0936834265044823,1.053894355453852,-1
2006-10-01,-0.1514285714285712,-0.2333333333333334,3.2803666666666667,0.0917396312592488,1.280096529366895,-1
2006-11-01,-0.5352380952380953,-0.3576190476190479,2.6136809523809523,0.091228112715834,1.612106763285024,-1
2006-12-01,-0.2150000000000007,-0.3170000000000001,2.0089999999999995,0.0910823837013782,1.877649043227304,-1
2007-01-01,-0.0795238095238097,-0.2271428571428577,2.6770571428571426,0.0908376453967156,2.0648869220151824,-1
2007-02-01,-0.3684210526315787,-0.3194736842105268,2.2902263157894733,0.0935797794277914,2.35517977915804,1
2007-03-01,-0.5499999999999998,-0.4590909090909099,1.6827090909090905,0.0933895749497066,2.587621846282372,1
2007-04-01,-0.1971428571428557,-0.2766666666666673,2.0004333333333326,0.0905629899950079,2.425506694767221,1
2007-05-01,0.0254545454545453,-0.0627272727272725,1.957372727272728,0.0889373414162001,2.2121844725449984,1
2007-06-01,0.6780952380952376,0.4161904761904758,2.333390476190476,0.0914955584297851,2.1027997683602946,-1
2007-07-01,0.2966666666666668,0.0647619047619043,2.566861904761905,0.095066591984318,2.1568648477253736,-1
